time,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windBearing,cloudCover,uvIndex,visibility
1262304000,73.45,75.07,72.69,0.97,1010.3,6.72,71.0,0.5,0.0,
1262390400,71.67,72.95,69.81,0.9400000000000001,1011.0,2.29,41.0,0.44,0.0,4.974
1262476800,75.25,76.89,73.39,0.9400000000000001,1011.6,1.16,30.0,0.75,0.0,4.346
1262563200,75.25,76.64,71.61,0.88,1010.9,3.46,71.0,0.75,0.0,6.216
1262649600,75.25,76.89,73.39,0.9400000000000001,1010.1,6.91,120.0,0.44,0.0,6.216
1262736000,73.45,74.65,69.81,0.88,1010.7,6.91,110.0,0.44,0.0,6.216
1262822400,71.67,72.95,69.81,0.9400000000000001,1012.8,2.29,60.0,0.44,0.0,6.216
1262908800,71.67,73.23,71.61,1.0,1013.2,4.61,60.0,0.19,0.0,6.216
1262995200,73.45,75.18,73.39,1.0,1012.3,0.0,,0.75,0.0,5.591
1263081600,75.25,76.64,71.61,0.88,1012.3,2.29,80.0,0.44,0.0,6.216
1263168000,73.45,74.91,71.61,0.9400000000000001,1012.6,3.46,90.0,0.19,0.0,6.216
1263254400,73.45,75.18,73.39,1.0,1013.5,4.61,80.0,0.44,0.0,6.216
1263340800,69.87,71.25,69.81,1.0,1015.0,3.46,11.0,0.44,0.0,6.216
1263427200,66.27,67.0,64.4,0.9400000000000001,1016.8,3.46,0.0,0.44,0.0,6.216
1263513600,66.27,67.29,66.21,1.0,1016.1,3.46,320.0,0.44,0.0,3.73
1263600000,69.87,70.21,62.59,0.78,1015.6,5.74,11.0,0.75,0.0,6.216
1263686400,69.87,70.45,64.4,0.8300000000000001,1015.6,6.72,,0.44,0.0,6.216
1263772800,69.87,70.7,66.21,0.88,1014.1,2.29,300.0,0.75,0.0,6.216
1263859200,73.45,74.65,69.81,0.88,1012.0,4.61,350.0,0.75,0.0,6.216
1263945600,69.87,71.25,69.81,1.0,1008.8,11.51,330.0,0.75,0.0,2.175
1264032000,73.45,75.18,73.39,1.0,1013.0,8.96,101.0,0.75,0.0,4.974
1264118400,75.25,77.17,75.19,1.0,1013.6,5.74,101.0,0.19,0.0,6.216
1264204800,75.25,76.89,73.39,0.9400000000000001,1013.8,4.61,80.0,0.19,0.0,6.216
1264291200,73.45,75.18,73.39,1.0,1014.0,2.29,30.0,0.44,0.0,5.591
1264377600,73.45,75.18,73.39,1.0,1013.0,4.61,80.0,0.44,0.0,3.108
1264464000,73.45,75.18,73.39,1.0,1013.5,4.61,0.0,0.75,0.0,6.216
1264550400,73.45,75.18,73.39,1.0,1013.9,1.16,30.0,0.44,0.0,4.974
1264636800,71.67,72.95,69.81,0.9400000000000001,1013.4,2.29,41.0,0.44,0.0,4.346
1264723200,71.67,72.95,69.81,0.9400000000000001,1013.5,2.24,71.0,0.44,0.0,6.216
1264809600,73.45,74.65,69.81,0.88,1013.0,5.74,110.0,0.19,0.0,6.216
1264896000,73.45,74.91,71.61,0.9400000000000001,1013.9,4.61,90.0,0.19,0.0,6.216
1264982400,71.67,73.23,71.61,1.0,1013.7,2.29,140.0,0.44,0.0,6.216
1265068800,75.25,76.89,73.39,0.9400000000000001,1012.0,5.74,120.0,0.19,0.0,6.216
1265155200,75.25,76.89,73.39,0.9400000000000001,1012.4,4.61,120.0,0.19,0.0,6.216
1265241600,75.81,77.28,72.33,0.89,1013.0,20.12,110.0,,,
1265328000,73.45,74.91,71.61,0.9400000000000001,1012.6,6.72,,0.19,0.0,6.216
1265414400,75.25,76.89,73.39,0.9400000000000001,1013.3,8.05,120.0,0.19,0.0,6.216
1265500800,73.45,75.18,73.39,1.0,1013.7,5.74,71.0,0.19,0.0,6.216
1265587200,75.25,76.64,71.61,0.88,1012.8,5.74,101.0,0.19,0.0,6.216
1265673600,75.25,76.15,68.0,0.78,1012.6,4.61,110.0,0.19,0.0,6.216
1265760000,75.25,76.64,71.61,0.88,1012.2,8.05,120.0,0.19,0.0,6.216
1265846400,71.67,73.23,71.61,1.0,1013.6,4.61,11.0,0.19,0.0,3.73
1265932800,76.0,77.82,74.87,0.96,1014.7,5.74,131.0,0.44,0.0,10.0
1266019200,75.25,76.89,73.39,0.9400000000000001,1013.0,4.61,60.0,0.44,0.0,6.216
1266105600,77.06,77.72,66.21,0.6900000000000001,1011.3,6.91,110.0,0.44,0.0,6.216
1266192000,75.25,76.64,71.61,0.88,1012.3,8.05,110.0,0.44,0.0,6.216
1266278400,75.25,76.39,69.81,0.8300000000000001,1012.6,4.61,80.0,0.19,0.0,6.216
1266364800,75.25,76.39,69.81,0.8300000000000001,1012.8,5.74,90.0,0.19,0.0,6.216
1266451200,73.45,75.18,73.39,1.0,1014.2,6.91,30.0,0.44,0.0,6.216
1266537600,73.45,75.18,73.39,1.0,1013.9,4.61,0.0,0.19,0.0,6.216
1266624000,75.25,76.64,71.61,0.88,1013.8,4.61,11.0,0.44,0.0,6.216
1266710400,77.06,78.38,71.61,0.8300000000000001,1013.1,6.91,120.0,0.44,0.0,6.216
1266796800,78.88,82.18,73.39,0.8300000000000001,1014.1,5.74,120.0,0.44,0.0,6.216
1266883200,78.88,82.18,73.39,0.8300000000000001,1012.2,8.05,131.0,0.75,0.0,6.216
1266969600,73.45,75.18,73.39,1.0,1011.4,3.46,140.0,0.44,0.0,6.216
1267056000,73.45,75.18,73.39,1.0,1011.2,4.61,60.0,0.75,0.0,1.862
1267142400,75.25,76.89,73.39,0.9400000000000001,1010.3,3.46,110.0,0.44,0.0,6.216
1267228800,77.06,78.88,75.19,0.9400000000000001,1010.9,3.46,120.0,0.19,0.0,6.216
1267315200,78.88,82.55,75.19,0.89,1011.9,4.61,101.0,0.19,0.0,6.216
1267401600,78.88,82.18,73.39,0.8300000000000001,1013.0,9.21,131.0,0.19,0.0,6.216
1267488000,77.06,78.88,75.19,0.9400000000000001,1012.6,4.61,120.0,0.19,0.0,6.216
1267574400,80.65,86.25,75.19,0.84,1011.2,3.46,150.0,0.75,0.0,6.216
1267660800,77.06,78.88,75.19,0.9400000000000001,1011.5,4.48,,0.44,0.0,4.974
1267747200,78.88,82.18,73.39,0.8300000000000001,1011.2,5.74,131.0,0.75,0.0,6.216
1267833600,78.66,82.04,75.01,0.89,1012.5,8.96,120.0,0.25,0.0,
1267920000,78.88,82.55,75.19,0.89,1012.7,1.16,330.0,0.75,0.0,6.216
1268006400,78.88,82.18,73.39,0.8300000000000001,1012.2,4.61,110.0,0.19,0.0,6.216
1268092800,80.65,85.4,73.39,0.79,1014.2,4.61,170.0,0.44,0.0,6.216
1268179200,75.25,76.89,73.39,0.9400000000000001,1014.5,4.48,,0.44,0.0,6.216
1268265600,73.45,73.94,64.4,0.73,1016.3,5.74,0.0,0.75,0.0,6.216
1268352000,77.06,78.38,71.61,0.8300000000000001,1015.8,5.74,71.0,0.44,0.0,6.216
